area,date,topTemp,lowTemp,weather,wind,windStrength,weather_level
三明,2015/2/28,16,10,小雨,西南风,小于3级,0
三明,2015/3/1,18,9,阴,东风,小于3级,0
三明,2015/3/2,12,9,小雨,东风,小于3级,0
三明,2015/3/3,14,10,小雨,东北风,小于3级,0
三明,2015/3/4,13,9,小雨,东北风,小于3级,0
三明,2015/3/5,12,8,小雨,东北风,小于3级,0
三明,2015/3/6,15,9,阴,北风,小于3级,0
三明,2015/3/7,21,12,阴转小雨,东北风,小于3级,0
三明,2015/3/8,18,11,小雨转阴,东南风,小于3级,0
三明,2015/3/9,16,10,多云转小雨,东风,小于3级,0
三明,2015/3/10,11,9,小雨,东风,小于3级,0
三明,2015/3/11,17,8,小雨转阴,东北风,小于3级,0
三明,2015/3/12,24,7,多云,暂无实况,小于3级,0
三明,2015/3/13,23,13,多云转小雨,暂无实况,小于3级,0
三明,2015/3/14,21,15,小雨转中雨,东风,小于3级,0
三明,2015/3/15,22,16,小雨,东北风,小于3级,0
三明,2015/3/16,29,17,阴转多云,西北风,小于3级,0
三明,2015/3/17,31,18,多云,暂无实况,小于3级,0
三明,2015/3/18,31,19,多云,西风,小于3级,0
三明,2015/3/19,32,20,多云转小雨,东北风,小于3级,0
三明,2015/3/20,26,19,多云转阴,西风,小于3级,0
三明,2015/3/21,23,16,阴转小雨,南风,小于3级,0
三明,2015/3/22,17,13,小雨转中雨,东北风,小于3级,0
三明,2015/3/23,17,10,阴,东北风,小于3级,0
三明,2015/3/24,16,10,阴转多云,东南风,小于3级,0
三明,2015/3/25,17,11,多云转小雨,东风,小于3级,0
三明,2015/3/26,22,11,阴转多云,东北风,小于3级,0
三明,2015/3/27,24,11,阴,东北风,小于3级,0
三明,2015/3/28,27,14,阴转小雨,暂无实况,小于3级,0
三明,2015/3/29,28,17,阴转小雨,东风,小于3级,0
三明,2015/3/30,30,18,小雨转多云,东北风,小于3级,0
三明,2015/3/31,33,19,多云转晴,南风,小于3级,0
三明,2015/4/1,33,18,多云转晴,东风,小于3级,0
三明,2015/4/2,33,21,多云,西北风,小于3级,0
三明,2015/4/3,34,21,多云,北风,小于3级,0
三明,2015/4/4,37,22,多云,东北风,小于3级,0
三明,2015/4/5,34,22,多云转雷阵雨,西南风,小于3级,0
三明,2015/4/6,28,16,雷阵雨转中雨,东北风,小于3级,0
三明,2015/4/7,15,13,小雨,东风,小于3级,0
三明,2015/4/8,15,11,小雨,东风,小于3级,0
三明,2015/4/9,13,10,小雨,东北风,小于3级,0
三明,2015/4/10,17,11,小雨转中雨,东风,小于3级,0
三明,2015/4/11,21,12,阴,东风,小于3级,0
三明,2015/4/12,20,10,多云转晴,西风,小于3级,0
三明,2015/4/13,23,9,晴,东北风,小于3级,0
三明,2015/4/14,26,9,多云转阴,东南风,小于3级,0
三明,2015/4/15,30,13,阴转多云,东南风,小于3级,0
三明,2015/4/16,31,20,多云,东风,小于3级,0
三明,2015/4/17,26,16,多云转雷阵雨,东北风,小于3级,0
三明,2015/4/18,30,20,阴转雷阵雨,东北风,小于3级,0
三明,2015/4/19,23,17,中雨,北风,小于3级,0
三明,2015/4/20,26,16,小雨转阴,西风,小于3级,0
三明,2015/4/21,26,15,阴转多云,南风,小于3级,0
三明,2015/4/22,25,15,阴转多云,东风,小于3级,0
三明,2015/4/23,27,16,阴,暂无实况,小于3级,0
三明,2015/4/24,26,16,阴转小雨,东南风,小于3级,0
三明,2015/4/25,27,16,多云,东北风,小于3级,0
三明,2015/4/26,25,18,小雨转中雨,暂无实况,小于3级,0
三明,2015/4/27,24,19,大雨转中雨,南风,小于3级,0
三明,2015/4/28,30,19,小雨转多云,暂无实况,小于3级,0
三明,2015/4/29,32,19,多云,东北风,小于3级,0
三明,2015/4/30,30,20,多云转小雨,南风,小于3级,0
三明,2015/5/1,28,20,小雨转中雨,东南风,小于3级,0
三明,2015/5/2,31,21,小雨,西风,小于3级,0
三明,2015/5/3,29,20,阴转中雨,西南风,小于3级,0
三明,2015/5/4,22,17,中雨转小雨,东北风,小于3级,0
三明,2015/5/5,26,18,小雨转中雨,东南风,小于3级,0
三明,2015/5/6,30,19,小雨转中雨,东北风,小于3级,0
三明,2015/5/7,30,19,小雨转中雨,东北风,小于3级,0
三明,2015/5/8,26,21,中雨~大雨,东北风,小于3级,0
三明,2015/5/9,31,21,多云~阴,东北风,小于3级,0
三明,2015/5/10,28,20,小雨,东北风,小于3级,0
三明,2015/5/11,29,15,中雨~阴,东北风,小于3级,0
三明,2015/5/12,29,16,多云,微风,小于3级,0
三明,2015/5/13,32,17,多云,东南风,小于3级,0
三明,2015/5/14,33,22,阴,东南风,小于3级,0
三明,2015/5/15,33,22,小雨~阴,东南风,小于3级,0
三明,2015/5/16,30,22,中雨~小雨,东北风,小于3级,0
三明,2015/5/17,34,23,小雨~多云,东南风,小于3级,0
三明,2015/5/18,30,23,小雨~中雨,西南风,小于3级,0
三明,2015/5/19,27,23,暴雨~中雨,东北风,小于3级,0
三明,2015/5/20,26,18,中雨,东北风,小于3级,0
三明,2015/5/21,19,15,中雨~小雨,东北风,小于3级,0
三明,2015/5/22,30,24,,东北风,小于3级,0
三明,2015/5/23,23,20,中雨~,东北风,小于3级,0
三明,2015/5/24,24,20,小雨,东北风,小于3级,0
三明,2015/5/25,28,22,小雨,东北风,小于3级,0
三明,2015/5/26,25,22,中雨~,东风,小于3级,0
三明,2015/5/27,30,23,中雨~,西南风,小于3级,0
三明,2015/5/28,28,24,中雨~阴,西南风,小于3级,0
三明,2015/5/29,35,25,小雨,东南风,小于3级,0
三明,2015/5/30,30,23,大雨~中雨,微风,小于3级,0
三明,2015/5/31,28,23,中雨~小雨,东南风,小于3级,0
三明,2015/6/1,33,24,小雨~多云,东南风,小于3级,0
三明,2015/6/2,35,25,多云,西南风,小于3级,0
三明,2015/6/3,33,24,多云~小雨,东南风,小于3级,0
三明,2015/6/4,28,24,中雨~小雨,东北风,小于3级,0
三明,2015/6/5,29,23,小雨,东北风,小于3级,0
三明,2015/6/6,29,23,小雨~阴,东北风,小于3级,0
三明,2015/6/7,33,24,阵雨~多云,东北风,小于3级,0
三明,2015/6/8,35,24,多云,东南风,小于3级,0
三明,2015/6/9,34,24,小雨~多云,西南风,小于3级,0
三明,2015/6/10,34,24,小雨~多云,微风,小于3级,0
三明,2015/6/11,30,23,大雨~小雨,东南风,小于3级,0
三明,2015/6/12,29,24,小雨,微风,小于3级,0
三明,2015/6/13,32,24,小雨~多云,东北风,小于3级,0
三明,2015/6/14,35,24,小雨~多云,东北风,小于3级,0
三明,2015/6/15,35,24,多云,东南风,小于3级,0
三明,2015/6/16,35,24,多云,微风,小于3级,0
三明,2015/6/17,36,25,多云,东南风,小于3级,0
三明,2015/6/18,33,25,小雨,东北风,小于3级,0
三明,2015/6/19,31,24,中雨,西南风,小于3级,0
三明,2015/6/20,31,24,小雨,东北风,小于3级,0
三明,2015/6/21,35,25,小雨~多云,东北风,小于3级,0
三明,2015/6/22,34,24,小雨~多云,微风,小于3级,0
三明,2015/6/23,33,24,小雨,东北风,小于3级,0
三明,2015/6/24,34,25,小雨~多云,东北风,小于3级,0
三明,2015/6/25,35,25,雷雨~多云,东北风,小于3级,0
三明,2015/6/26,36,25,多云,东北风,小于3级,0
三明,2015/6/27,37,25,多云,微风,小于3级,0
三明,2015/6/28,37,26,多云,东南风,小于3级,0
三明,2015/6/29,36,26,多云,西南风,小于3级,0
三明,2015/6/30,37,26,多云~晴,东北风,小于3级,0
三明,2015/7/1,36,25,多云,东北风,小于3级,0
三明,2015/7/2,33,25,中雨,东南风,小于3级,2
三明,2015/7/3,27,24,暴雨~大雨,东南风,小于3级,2
三明,2015/7/4,28,24,大雨,东南风,小于3级,5
三明,2015/7/5,29,23,中雨~小雨,微风,小于3级,4
三明,2015/7/6,29,23,小雨,东北风,小于3级,1
三明,2015/7/7,28,22,小雨,东北风,小于3级,1
三明,2015/7/8,26,22,小雨~中雨,东北风,小于3级,1
三明,2015/7/9,29,22,小雨,东南风,小于3级,1
三明,2015/7/10,33,24,多云,西南风,小于3级,0
三明,2015/7/11,33,25,多云,西南风,小于3级,3
三明,2015/7/12,35,25,多云,东南风,小于3级,3
三明,2015/7/13,36,24,多云,东北风,小于3级,0
三明,2015/7/14,36,25,多云,东北风,小于3级,0
三明,2015/7/15,35,25,多云,东北风,小于3级,0
三明,2015/7/16,34,25,多云~小雨,东北风,小于3级,1
三明,2015/7/17,35,25,小雨,西北风,小于3级,1
三明,2015/7/18,34,25,阵雨~阴,西南风,小于3级,5
三明,2015/7/19,36,25,多云,东北风,小于3级,3
三明,2015/7/20,32,25,中雨~小雨,东北风,小于3级,1
三明,2015/7/21,29,24,大雨~中雨,东北风,小于3级,2
三明,2015/7/22,28,24,中雨~小雨,微风,小于3级,1
三明,2015/7/23,31,24,阵雨~阴,西南风,小于3级,2
三明,2015/7/24,33,25,阵雨~阴,微风,小于3级,2
三明,2015/7/25,34,24,小雨~多云,东北风,小于3级,4
三明,2015/7/26,34,24,阵雨~多云,微风,小于3级,5
三明,2015/7/27,35,25,多云,东北风,小于3级,0
三明,2015/7/28,36,24,多云,西南风,小于3级,0
三明,2015/7/29,35,24,小雨~多云,东北风,小于3级,1
三明,2015/7/30,34,24,多云,东北风,小于3级,0
三明,2015/7/31,35,25,多云,微风,小于3级,0
三明,2015/8/1,36,24,多云,西北风,小于3级,3
三明,2015/8/2,37,25,多云,东北风,小于3级,3
三明,2015/8/3,37,25,晴,东南风,小于3级,0
三明,2015/8/4,37,25,多云,微风,小于3级,0
三明,2015/8/5,37,25,多云,东北风,小于3级,0
三明,2015/8/6,37,24,多云,东北风,小于3级,0
三明,2015/8/7,36,26,多云~小雨,东南风,小于3级,1
三明,2015/8/8,30,23,大雨~暴雨,东南风,小于3级,5
三明,2015/8/9,26,24,大雨~中雨,微风,小于3级,5
三明,2015/8/10,30,25,中雨,东北风,小于3级,2
三明,2015/8/11,29,24,中雨~小雨,东北风,小于3级,1
三明,2015/8/12,31,24,中雨~小雨,东南风,小于3级,1
三明,2015/8/13,34,25,阵雨,东南风,小于3级,2
三明,2015/8/14,32,25,中雨~阵雨,西南风,小于3级,2
三明,2015/8/15,33,25,中雨~阵雨,东北风,小于3级,5
三明,2015/8/16,33,24,中雨~阵雨,东北风,小于3级,5
三明,2015/8/17,32,24,雷阵雨~阵雨,东北风,小于3级,2
三明,2015/8/18,33,25,阵雨~多云,微风,小于3级,2
三明,2015/8/19,33,24,小雨,东北风,小于3级,1
三明,2015/8/20,35,24,阵雨~小雨,东北风,小于3级,1
三明,2015/8/21,35,25,阴~多云,东北风,小于3级,0
三明,2015/8/22,35,24,多云,东南风,小于3级,3
三明,2015/8/23,33,24,小雨~阴,东南风,小于3级,4
三明,2015/8/24,32,22,阴~多云,西南风,小于3级,0
三明,2015/8/25,34,23,多云,东北风,小于3级,0
三明,2015/8/26,34,23,多云,东北风,小于3级,0
三明,2015/8/27,33,23,阵雨~多云,东北风,小于3级,2
三明,2015/8/28,30,24,小雨,东南风,小于3级,1
三明,2015/8/29,26,22,小雨~中雨,东南风,小于3级,4
三明,2015/8/30,26,21,小雨~阴,微风,小于3级,4
三明,2015/8/31,31,22,小雨~多云,东北风,小于3级,1
三明,2015/9/1,27,22,小雨,西南风,小于3级,1
三明,2015/9/2,29,23,中雨~小雨,东北风,小于3级,1
三明,2015/9/3,31,23,阵雨~阴,东北风,小于3级,-1
三明,2015/9/4,32,23,阵雨~多云,东北风,小于3级,-1
三明,2015/9/5,34,24,阵雨,东北风,小于3级,5
三明,2015/9/6,30,23,中雨,东北风,小于3级,5
三明,2015/9/7,33,22,多云,东北风,小于3级,0
三明,2015/9/8,32,21,多云,东北风,小于3级,0
三明,2015/9/9,32,21,多云,东北风,小于3级,0
三明,2015/9/10,32,21,多云,东北风,小于3级,0
三明,2015/9/11,32,21,多云,东北风,小于3级,0
三明,2015/9/12,31,20,阴,东北风,小于3级,3
三明,2015/9/13,26,20,小雨~多云,东北风,小于3级,4
三明,2015/9/14,27,20,阴,东南风,小于3级,0
三明,2015/9/15,30,20,多云~阴,东北风,小于3级,0
三明,2015/9/16,30,22,多云,东北风,小于3级,0
三明,2015/9/17,31,20,多云,东北风,小于3级,0
三明,2015/9/18,32,20,晴~多云,东北风,小于3级,0
三明,2015/9/19,29,21,阵雨~小雨,东北风,小于3级,4
三明,2015/9/20,25,21,中雨,东北风,小于3级,5
三明,2015/9/21,24,21,中雨~小雨,东南风,小于3级,1
三明,2015/9/22,27,22,小雨,微风,小于3级,1
三明,2015/9/23,31,22,阵雨~阴,东北风,小于3级,2
三明,2015/9/24,33,23,多云,东北风,小于3级,0
三明,2015/9/25,33,24,小雨,东北风,小于3级,1
三明,2015/9/26,29,22,小雨~多云,东北风,小于3级,4
三明,2015/9/27,31,19,多云,东北风,小于3级,3
三明,2015/9/28,32,22,多云~小雨,东南风,小于3级,1
三明,2015/9/29,25,23,暴雨~大雨,东北风,小于3级,2
三明,2015/9/30,28,21,阵雨~小雨,东南风,小于3级,1
三明,2015/10/1,27,19,小雨~阴,东北风,小于3级,-2
三明,2015/10/2,27,20,多云,东南风,小于3级,-3
三明,2015/10/3,30,21,多云,东北风,小于3级,3
三明,2015/10/4,31,22,阵雨~多云,东北风,小于3级,5
三明,2015/10/5,30,22,多云~阴,东北风,小于3级,-3
三明,2015/10/6,30,22,阴,东北风,小于3级,-3
三明,2015/10/7,28,21,小雨~中雨,西南风,小于3级,-2
三明,2015/10/8,26,22,小雨,西南风,小于3级,1
三明,2015/10/9,24,18,小雨~阴,东南风,小于3级,1
三明,2015/10/10,23,17,阴~多云,东南风,小于3级,3
三明,2015/10/11,26,14,多云~晴,东北风,小于3级,3
三明,2015/10/12,26,14,晴~多云,东北风,小于3级,0
三明,2015/10/13,27,13,晴,东北风,小于3级,0
三明,2015/10/14,27,14,晴~多云,东北风,小于3级,0
三明,2015/10/15,28,14,多云,东北风,小于3级,0
三明,2015/10/16,29,15,晴,东北风,小于3级,0
三明,2015/10/17,29,13,多云,东南风,小于3级,3
三明,2015/10/18,27,15,多云,东北风,小于3级,3
三明,2015/10/19,27,18,多云,东北风,小于3级,0
三明,2015/10/20,26,19,阴,东北风,小于3级,0
三明,2015/10/21,27,18,多云,东北风,小于3级,0
三明,2015/10/22,29,17,多云,东南风,小于3级,0
三明,2015/10/23,29,18,晴~多云,东北风,小于3级,0
三明,2015/10/24,30,19,多云,东北风,小于3级,3
三明,2015/10/25,30,18,多云,东北风,小于3级,3
三明,2015/10/26,28,20,多云~阴,微风,小于3级,0
三明,2015/10/27,26,19,阴~阵雨,微风,小于3级,2
三明,2015/10/28,28,20,阵雨,东北风,小于3级,2
三明,2015/10/29,27,19,小雨,东北风,小于3级,1
三明,2015/10/30,23,19,中雨~小雨,东南风,小于3级,1
三明,2015/10/31,20,16,小雨,东南风,小于3级,4
三明,2015/11/1,18,14,小雨~阴,东南风,小于3级,4
三明,2015/11/2,20,13,晴,东北风,小于3级,0
三明,2015/11/3,20,13,多云,东南风,小于3级,0
三明,2015/11/4,23,18,多云,东北风,小于3级,0
三明,2015/11/5,27,19,多云,东南风,小于3级,0
三明,2015/11/6,30,20,多云,东南风,小于3级,0
三明,2015/11/7,30,21,多云,东南风,小于3级,3
三明,2015/11/8,29,19,阵雨,微风,小于3级,5
三明,2015/11/9,24,18,阵雨,东北风,小于3级,2
三明,2015/11/10,22,14,阴~小雨,东北风,小于3级,1
三明,2015/11/11,19,15,小雨~中雨,东北风,小于3级,1
三明,2015/11/12,20,16,中雨,东北风,小于3级,2
三明,2015/11/13,20,16,中雨~小雨,西南风,小于3级,1
三明,2015/11/14,19,17,小雨~阴,东北风,小于3级,4
三明,2015/11/15,26,18,多云,东南风,小于3级,3
三明,2015/11/16,26,19,小雨,东北风,小于3级,1
三明,2015/11/17,29,20,多云,微风,小于3级,0
三明,2015/11/18,28,20,多云~阴,东北风,小于3级,0
三明,2015/11/19,25,18,阴~多云,东北风,小于3级,0
三明,2015/11/20,25,19,多云~阴,东北风,小于3级,0
三明,2015/11/21,24,19,小雨~阴,东南风,小于3级,4
三明,2015/11/22,25,17,阴,东北风,小于3级,3
三明,2015/11/23,26,17,多云~阴,东北风,小于3级,0
三明,2015/11/24,25,13,多云~阴,东北风,小于3级,0
三明,2015/11/25,17,8,阴~多云,西南风,小于3级,0
三明,2015/11/26,15,5,多云~晴,东北风,小于3级,0
三明,2015/11/27,17,7,晴,东北风,小于3级,0
三明,2015/11/28,18,11,多云~阴,东南风,小于3级,3
三明,2015/11/29,15,12,小雨~阴,东北风,小于3级,4
三明,2015/11/30,17,15,阴,东南风,小于3级,0
三明,2015/12/1,21,15,阴,东北风,小于3级,0
三明,2015/12/2,18,12,小雨~阴,微风,小于3级,1
三明,2015/12/3,16,11,多云,东北风,小于3级,0
三明,2015/12/4,16,12,阴~多云,东北风,小于3级,0
三明,2015/12/5,13,10,中雨,东北风,小于3级,5
三明,2015/12/6,13,9,阴~多云,东南风,小于3级,3
三明,2015/12/7,18,8,多云,东北风,小于3级,0
三明,2015/12/8,18,10,多云~小雨,东南风,小于3级,1
三明,2015/12/9,14,13,大雨~中雨,西南风,小于3级,2
三明,2015/12/10,16,12,阴,西南风,小于3级,0
三明,2015/12/11,18,13,阴,东南风,小于3级,0
三明,2015/12/12,16,11,阴,东北风,小于3级,3
三明,2015/12/13,16,13,小雨,东北风,小于3级,4
三明,2015/12/14,15,10,小雨,东北风,小于3级,1
三明,2015/12/15,15,7,阴,东北风,小于3级,0
三明,2015/12/16,12,3,多云,东南风,小于3级,0
三明,2015/12/17,11,1,晴,东北风,小于3级,0
三明,2015/12/18,13,2,晴~多云,西南风,小于3级,0
三明,2015/12/19,16,6,多云,东北风,小于3级,3
三明,2015/12/20,18,9,多云~阴,东北风,小于3级,3
三明,2015/12/21,20,12,多云~小雨,东北风,小于3级,1
三明,2015/12/22,18,15,小雨,东北风,小于3级,1
三明,2015/12/23,18,16,中雨~小雨,东北风,小于3级,1
三明,2015/12/24,17,14,小雨,西南风,小于3级,1
三明,2015/12/25,14,9,阴,东南风,小于3级,0
三明,2015/12/26,13,10,小雨~中雨,东北风,小于3级,4
三明,2015/12/27,15,10,阴~多云,东北风,小于3级,3
三明,2015/12/28,16,8,多云~阴,东北风,小于3级,0
三明,2015/12/29,15,10,多云~阴,东北风,小于3级,0
三明,2015/12/30,17,9,多云,东北风,小于3级,0
三明,2015/12/31,17,7,多云,东风,小于3级,0
三明,2016/1/1,17,8,多云,东北风,小于3级,-3
三明,2016/1/2,22,7,多云,东北风,小于3级,3
三明,2016/1/3,22,12,多云~阴,西北风,小于3级,3
三明,2016/1/4,24,13,阴~小雨,东北风,小于3级,1
三明,2016/1/5,19,13,中雨,东北风,小于3级,2
三明,2016/1/6,18,11,阴,东北风,小于3级,0
三明,2016/1/7,15,12,阴,西南风,小于3级,0
三明,2016/1/8,16,10,阴,东北风,小于3级,0
三明,2016/1/9,16,11,阴~小雨,东南风,小于3级,4
三明,2016/1/10,14,11,小雨~中雨,东南风,小于3级,4
三明,2016/1/11,13,10,小雨~阴,西南风,小于3级,1
三明,2016/1/12,13,10,阴,西南风,小于3级,0
三明,2016/1/13,12,7,小雨~阴,东北风,小于3级,1
三明,2016/1/14,16,9,多云~小雨,东北风,小于3级,1
三明,2016/1/15,13,9,阴,东北风,小于3级,0
三明,2016/1/16,16,10,阵雨~中雨,东南风,小于3级,5
三明,2016/1/17,13,5,小雨~多云,东北风,小于3级,4
三明,2016/1/18,15,6,多云,东南风,小于3级,0
三明,2016/1/19,15,6,多云,东北风,小于3级,0
三明,2016/1/20,10,8,小雨,东北风,小于3级,1
三明,2016/1/21,10,7,中雨~小雨,东北风,小于3级,1
三明,2016/1/22,7,2,中雨~雨夹雪,西南风,小于3级,2
三明,2016/1/23,4,-1,小雪~多云,东北风,小于3级,5
三明,2016/1/24,4,-3,多云~晴,西北风,小于3级,3
三明,2016/1/25,6,-4,晴~多云,东北风,小于3级,0
三明,2016/1/26,10,0,多云~小雨,东北风,小于3级,1
三明,2016/1/27,8,4,中雨,东北风,小于3级,2
三明,2016/1/28,10,7,大雨,东北风,小于3级,2
三明,2016/1/29,14,9,小雨~阴,东北风,小于3级,1
三明,2016/1/30,13,10,多云~阴,东北风,小于3级,3
三明,2016/1/31,13,8,小雨,东北风,小于3级,4
三明,2016/2/1,10,4,小雨,东南风,小于3级,1
三明,2016/2/2,8,4,阴~多云,东北风,小于3级,0
三明,2016/2/3,12,6,多云,东南风,小于3级,0
三明,2016/2/4,12,6,阴,东北风,小于3级,0
三明,2016/2/5,13,4,多云,东北风,小于3级,0
三明,2016/2/6,11,1,多云~晴,西北风,小于3级,3
三明,2016/2/7,15,0,晴,西南风,小于3级,3
三明,2016/2/8,17,4,晴,东北风,小于3级,-3
三明,2016/2/9,22,3,晴~多云,东北风,小于3级,-3
三明,2016/2/10,23,5,多云~阵雨,东北风,小于3级,-1
三明,2016/2/11,22,13,多云,东北风,小于3级,-3
三明,2016/2/12,27,13,多云,西南风,小于3级,-3
三明,2016/2/13,26,13,小雨~中雨,东北风,小于3级,4
三明,2016/2/14,15,4,中雨~小雨,东北风,小于3级,4
三明,2016/2/15,9,3,阴,西南风,小于3级,0
三明,2016/2/16,12,3,多云,西南风,小于3级,0
三明,2016/2/17,15,8,多云,东北风,小于3级,0
三明,2016/2/18,19,7,多云~阴,东北风,小于3级,0
三明,2016/2/19,19,8,阴,东北风,小于3级,0
三明,2016/2/20,17,7,多云,东北风,小于3级,3
三明,2016/2/21,15,8,多云~小雨,东北风,小于3级,4
三明,2016/2/22,12,9,小雨,西北风,小于3级,1
三明,2016/2/23,11,8,小雨,东北风,小于3级,1
三明,2016/2/24,12,6,小雨~多云,东南风,小于3级,1
三明,2016/2/25,14,8,阴,东北风,小于3级,0
三明,2016/2/26,10,7,小雨,东北风,小于3级,1
三明,2016/2/27,21,7,多云~晴,东南风,小于3级,3
三明,2016/2/28,22,7,多云~晴,东南风,小于3级,3
三明,2016/2/29,20,5,晴,东南风,小于3级,0
三明,2016/3/1,21,6,晴,东北风,小于3级,0
三明,2016/3/2,23,8,晴,东北风,小于3级,0
三明,2016/3/3,25,9,晴~多云,西南风,小于3级,0
三明,2016/3/4,27,12,多云,东北风,小于3级,0
三明,2016/3/5,26,14,阵雨,微风,小于3级,5
三明,2016/3/6,26,15,阵雨~阴,东北风,小于3级,5
三明,2016/3/7,25,15,阵雨~阴,东南风,小于3级,2
三明,2016/3/8,25,15,小雨~中雨,西南风,小于3级,1
三明,2016/3/9,16,9,中雨,东北风,小于3级,2
三明,2016/3/10,9,5,小雨~阴,东南风,小于3级,1
三明,2016/3/11,11,5,阴~多云,东北风,小于3级,0
三明,2016/3/12,13,6,阵雨~小雨,东北风,小于3级,4
三明,2016/3/13,11,9,中雨~小雨,西北风,小于3级,4
三明,2016/3/14,15,9,阴~多云,东北风,小于3级,0
三明,2016/3/15,17,11,阴,东北风,小于3级,0
三明,2016/3/16,19,11,阴~小雨,东北风,小于3级,1
三明,2016/3/17,19,10,小雨~大雨,东北风,小于3级,1
三明,2016/3/18,21,14,中雨~小雨,东南风,小于3级,1
三明,2016/3/19,26,16,多云~小雨,东南风,小于3级,4
三明,2016/3/20,19,12,中雨,东北风,小于3级,5
三明,2016/3/21,17,13,小雨,东北风,小于3级,1
三明,2016/3/22,17,13,小雨~大雨,东北风,小于3级,1
三明,2016/3/23,15,9,大雨~小雨,东南风,小于3级,1
三明,2016/3/24,12,9,小雨~阴,东北风,小于3级,1
三明,2016/3/25,17,6,多云,东南风,小于3级,0
三明,2016/3/26,19,6,多云,东北风,小于3级,3
三明,2016/3/27,19,7,多云~晴,东北风,小于3级,3
三明,2016/3/28,21,6,晴,西北风,小于3级,0
三明,2016/3/29,21,8,多云,东北风,小于3级,0
三明,2016/3/30,18,14,阵雨~中雨,东北风,小于3级,2
三明,2016/3/31,23,12,阴~多云,东南风,小于3级,0
三明,2016/4/1,30,13,多云,东南风,小于3级,0
三明,2016/4/2,30,18,多云,东北风,小于3级,3
三明,2016/4/3,27,19,雷阵雨,西南风,小于3级,5
三明,2016/4/4,27,19,中雨~雷阵雨,微风,小于3级,-1
