shopid,time,count
3,2016/10/8,7
3,2016/10/9,13
3,2016/10/10,2
3,2016/10/11,15
3,2016/10/12,8
3,2016/10/13,9
3,2016/10/14,6
3,2016/10/15,10
3,2016/10/16,4
3,2016/10/17,4
3,2016/10/18,5
3,2016/10/19,3
3,2016/10/20,5
3,2016/10/21,5
3,2016/10/22,13
3,2016/10/23,2
3,2016/10/24,4
3,2016/10/25,6
3,2016/10/26,3
3,2016/10/27,4
3,2016/10/28,2
3,2016/10/29,7
3,2016/10/30,8
3,2016/10/31,3
4,2016/7/19,14
4,2016/7/20,17
4,2016/7/21,30
4,2016/7/23,48
4,2016/7/24,66
4,2016/7/26,28
4,2016/7/27,33
4,2016/7/28,21
4,2016/7/29,33
4,2016/7/30,33
4,2016/7/31,25
4,2016/8/1,34
4,2016/8/2,41
4,2016/8/3,36
4,2016/8/4,30
4,2016/8/5,31
4,2016/8/6,54
4,2016/8/7,54
4,2016/8/8,876
4,2016/8/9,58
4,2016/8/10,58
4,2016/8/11,42
4,2016/8/12,49
4,2016/8/13,87
4,2016/8/14,100
4,2016/8/15,52
4,2016/8/16,34
4,2016/8/17,40
4,2016/8/18,53
4,2016/8/19,49
4,2016/8/20,56
4,2016/8/21,85
4,2016/8/22,37
4,2016/8/23,35
4,2016/8/24,51
4,2016/8/25,60
4,2016/8/26,43
4,2016/8/27,54
4,2016/8/28,61
4,2016/8/29,34
4,2016/8/30,27
4,2016/8/31,53
4,2016/9/1,37
4,2016/9/2,41
4,2016/9/3,44
4,2016/9/4,42
4,2016/9/5,21
4,2016/9/6,31
4,2016/9/7,27
4,2016/9/8,35
4,2016/9/9,37
4,2016/9/10,36
4,2016/9/11,59
4,2016/9/12,35
4,2016/9/13,32
4,2016/9/14,40
4,2016/9/15,51
4,2016/9/16,46
4,2016/9/17,21
4,2016/9/18,32
4,2016/9/19,26
4,2016/9/20,30
4,2016/9/21,22
4,2016/9/22,25
4,2016/9/23,20
4,2016/9/24,57
4,2016/9/25,37
4,2016/9/26,29
4,2016/9/27,14
4,2016/9/28,15
4,2016/9/29,30
4,2016/9/30,17
4,2016/10/1,46
4,2016/10/2,32
4,2016/10/3,16
4,2016/10/4,23
4,2016/10/5,33
4,2016/10/6,28
4,2016/10/7,34
4,2016/10/8,34
4,2016/10/9,21
4,2016/10/10,33
4,2016/10/11,28
4,2016/10/12,27
4,2016/10/13,28
4,2016/10/14,20
4,2016/10/15,33
4,2016/10/16,46
4,2016/10/17,25
4,2016/10/18,19
4,2016/10/19,19
4,2016/10/20,13
4,2016/10/21,24
4,2016/10/22,40
4,2016/10/23,29
4,2016/10/24,15
4,2016/10/25,13
4,2016/10/26,14
4,2016/10/27,14
4,2016/10/28,12
4,2016/10/29,31
4,2016/10/30,21
4,2016/10/31,20
5,2016/6/22,2
5,2016/6/23,10
5,2016/6/24,7
5,2016/6/25,18
5,2016/6/26,11
5,2016/6/28,4
5,2016/6/29,4
5,2016/6/30,4
5,2016/7/1,3
5,2016/7/2,4
5,2016/7/3,1
5,2016/7/4,1
5,2016/7/5,1
5,2016/7/6,1
5,2016/7/7,1
5,2016/7/9,1
5,2016/7/13,1
5,2016/7/17,2
5,2016/7/19,1
5,2016/7/23,2
5,2016/8/1,1
5,2016/8/2,1
5,2016/8/7,1
5,2016/9/3,1
5,2016/9/6,1
5,2016/9/11,8
5,2016/9/12,3
5,2016/9/13,2
5,2016/9/14,1
5,2016/9/15,7
5,2016/9/16,3
5,2016/9/17,6
5,2016/9/18,10
5,2016/9/19,8
5,2016/9/20,6
5,2016/9/21,9
5,2016/9/22,4
5,2016/9/23,1
5,2016/9/24,3
5,2016/9/25,5
5,2016/9/26,3
5,2016/9/27,2
5,2016/9/28,3
5,2016/9/29,4
5,2016/9/30,2
5,2016/10/1,5
5,2016/10/2,2
5,2016/10/3,1
5,2016/10/4,2
5,2016/10/5,1
5,2016/10/6,1
5,2016/10/7,7
5,2016/10/8,13
5,2016/10/9,13
5,2016/10/10,17
5,2016/10/11,12
5,2016/10/12,7
5,2016/10/13,9
5,2016/10/14,6
5,2016/10/15,1
5,2016/10/16,7
5,2016/10/17,1
5,2016/10/18,6
5,2016/10/19,2
5,2016/10/20,5
5,2016/10/21,11
5,2016/10/22,6
5,2016/10/23,5
5,2016/10/24,17
5,2016/10/25,13
5,2016/10/26,13
5,2016/10/27,8
5,2016/10/28,3
5,2016/10/29,5
5,2016/10/30,5
5,2016/10/31,5
6,2016/6/22,6
6,2016/6/23,46
6,2016/6/24,17
6,2016/6/25,54
6,2016/6/26,13
6,2016/6/27,11
6,2016/6/28,9
6,2016/6/29,9
6,2016/6/30,5
6,2016/7/1,12
6,2016/7/2,8
6,2016/7/3,6
6,2016/7/4,3
6,2016/7/5,8
6,2016/7/6,7
6,2016/7/7,10
6,2016/7/8,8
6,2016/7/9,8
6,2016/7/10,8
6,2016/7/11,5
6,2016/7/12,8
6,2016/7/13,5
6,2016/7/14,5
6,2016/7/15,4
6,2016/7/16,4
6,2016/7/17,8
6,2016/7/18,10
6,2016/7/19,11
6,2016/7/20,8
6,2016/7/21,7
6,2016/7/23,7
6,2016/7/24,4
6,2016/7/26,17
6,2016/7/27,15
6,2016/7/28,4
6,2016/7/29,5
6,2016/7/30,8
6,2016/7/31,5
6,2016/8/1,8
6,2016/8/2,9
6,2016/8/3,4
6,2016/8/4,2
6,2016/8/5,9
6,2016/8/6,9
6,2016/8/7,6
6,2016/8/8,7
6,2016/8/9,12
6,2016/8/10,7
6,2016/8/11,3
6,2016/8/12,5
6,2016/8/13,2
6,2016/8/14,1
6,2016/8/15,9
6,2016/8/16,6
6,2016/8/17,12
6,2016/8/18,7
6,2016/8/19,6
6,2016/8/20,11
6,2016/8/21,11
6,2016/8/22,5
6,2016/8/23,9
6,2016/8/24,10
6,2016/8/25,14
6,2016/8/26,8
6,2016/8/27,8
6,2016/8/28,6
6,2016/8/29,3
6,2016/8/30,2
6,2016/8/31,9
6,2016/9/1,6
6,2016/9/2,4
6,2016/9/3,4
6,2016/9/4,5
6,2016/9/5,4
6,2016/9/6,4
6,2016/9/7,1
6,2016/9/8,4
6,2016/9/9,6
6,2016/9/10,1
6,2016/9/11,6
6,2016/9/12,7
6,2016/9/13,4
6,2016/9/14,7
6,2016/9/15,4
6,2016/9/16,4
6,2016/9/17,2
6,2016/9/18,2
6,2016/9/19,8
6,2016/9/20,6
6,2016/9/21,2
6,2016/9/22,4
6,2016/9/23,6
6,2016/9/24,4
6,2016/9/25,5
6,2016/9/26,12
6,2016/9/27,7
6,2016/9/28,15
6,2016/9/29,9
6,2016/9/30,7
6,2016/10/1,7
6,2016/10/2,6
6,2016/10/3,8
6,2016/10/4,5
6,2016/10/5,14
6,2016/10/6,4
6,2016/10/7,9
6,2016/10/8,6
6,2016/10/9,16
6,2016/10/10,9
6,2016/10/11,9
6,2016/10/12,11
6,2016/10/13,8
6,2016/10/14,10
6,2016/10/15,10
6,2016/10/16,10
6,2016/10/17,5
6,2016/10/18,12
6,2016/10/19,5
6,2016/10/20,9
6,2016/10/21,8
6,2016/10/22,9
6,2016/10/23,10
6,2016/10/24,7
6,2016/10/25,4
6,2016/10/26,5
6,2016/10/27,7
6,2016/10/28,4
6,2016/10/29,6
6,2016/10/30,13
6,2016/10/31,6
7,2016/6/22,35
7,2016/6/23,33
7,2016/6/24,38
7,2016/6/25,67
7,2016/6/26,47
7,2016/6/27,51
7,2016/6/28,40
7,2016/6/29,52
7,2016/6/30,43
7,2016/7/1,44
7,2016/7/2,43
7,2016/7/3,55
7,2016/7/4,55
7,2016/7/5,56
7,2016/7/6,26
7,2016/7/7,48
7,2016/7/8,36
7,2016/7/9,32
7,2016/7/10,41
7,2016/7/11,35
7,2016/7/12,51
7,2016/7/13,32
7,2016/7/14,26
7,2016/7/15,27
7,2016/7/16,52
7,2016/7/17,52
7,2016/7/18,37
7,2016/7/19,19
7,2016/7/20,31
7,2016/7/21,19
7,2016/7/23,40
7,2016/7/24,40
7,2016/7/26,47
7,2016/7/27,42
7,2016/7/28,32
7,2016/7/29,33
7,2016/7/30,41
7,2016/7/31,25
7,2016/8/1,23
7,2016/8/2,21
7,2016/8/3,18
7,2016/8/4,43
7,2016/8/5,41
7,2016/8/6,39
7,2016/8/7,44
7,2016/8/8,32
7,2016/8/9,149
7,2016/8/10,118
7,2016/8/11,135
7,2016/8/12,105
7,2016/8/13,94
7,2016/8/14,96
7,2016/8/15,24
7,2016/8/16,54
7,2016/8/17,44
7,2016/8/18,41
7,2016/8/19,30
7,2016/8/20,42
7,2016/8/21,50
7,2016/8/22,21
7,2016/8/23,35
7,2016/8/24,36
7,2016/8/25,46
7,2016/8/26,39
7,2016/8/27,25
7,2016/8/28,30
7,2016/8/29,36
7,2016/8/30,27
7,2016/8/31,25
7,2016/9/1,34
7,2016/9/2,29
7,2016/9/3,28
7,2016/9/4,31
7,2016/9/5,25
7,2016/9/6,39
7,2016/9/7,39
7,2016/9/8,32
7,2016/9/9,16
7,2016/9/10,18
7,2016/9/11,11
7,2016/9/12,16
7,2016/9/13,21
7,2016/9/14,20
7,2016/9/15,20
7,2016/9/16,33
7,2016/9/17,26
7,2016/9/18,10
7,2016/9/19,11
7,2016/9/20,16
7,2016/9/21,23
7,2016/9/22,12
7,2016/9/23,11
7,2016/9/24,14
7,2016/9/25,16
7,2016/9/26,11
7,2016/9/27,11
7,2016/9/28,11
7,2016/9/29,16
7,2016/9/30,30
7,2016/10/1,44
7,2016/10/2,31
7,2016/10/3,14
7,2016/10/4,26
7,2016/10/5,26
7,2016/10/6,28
7,2016/10/7,25
7,2016/10/8,19
7,2016/10/9,23
7,2016/10/10,15
7,2016/10/11,24
7,2016/10/12,29
7,2016/10/13,14
7,2016/10/14,20
7,2016/10/15,34
7,2016/10/16,25
7,2016/10/17,7
7,2016/10/18,23
7,2016/10/19,18
7,2016/10/20,16
7,2016/10/21,14
7,2016/10/22,15
7,2016/10/23,20
7,2016/10/24,10
7,2016/10/25,10
7,2016/10/26,13
7,2016/10/27,21
7,2016/10/28,34
7,2016/10/29,21
7,2016/10/30,33
7,2016/10/31,10
8,2016/7/29,4
8,2016/7/30,3
8,2016/7/31,5
8,2016/8/1,4
8,2016/8/2,8
8,2016/8/3,15
8,2016/8/4,21
8,2016/8/5,20
8,2016/8/6,20
8,2016/8/7,18
8,2016/8/8,19
8,2016/8/9,26
8,2016/8/10,15
8,2016/8/11,22
8,2016/8/12,17
8,2016/8/13,16
8,2016/8/14,19
8,2016/8/15,17
8,2016/8/16,19
8,2016/8/17,16
8,2016/8/18,11
8,2016/8/19,7
8,2016/8/20,25
8,2016/8/21,12
8,2016/8/22,14
8,2016/8/23,23
8,2016/8/24,14
8,2016/8/25,22
8,2016/8/26,16
8,2016/8/27,38
8,2016/8/28,24
8,2016/8/29,4
8,2016/8/30,6
8,2016/8/31,9
8,2016/9/1,8
8,2016/9/2,13
8,2016/9/3,10
8,2016/9/4,9
8,2016/9/5,7
8,2016/9/6,12
8,2016/9/7,8
8,2016/9/8,12
8,2016/9/9,8
8,2016/9/10,10
8,2016/9/11,7
8,2016/9/12,9
8,2016/9/13,4
8,2016/9/14,14
8,2016/9/15,8
8,2016/9/16,5
8,2016/9/17,5
8,2016/9/18,6
8,2016/9/19,14
8,2016/9/20,10
8,2016/9/21,10
8,2016/9/22,7
8,2016/9/23,4
8,2016/9/24,7
8,2016/9/25,10
8,2016/9/26,15
8,2016/9/27,9
8,2016/9/28,15
8,2016/9/29,8
8,2016/9/30,8
8,2016/10/1,10
8,2016/10/2,14
8,2016/10/3,15
8,2016/10/4,16
8,2016/10/5,3
8,2016/10/6,13
8,2016/10/7,9
8,2016/10/8,11
8,2016/10/9,10
8,2016/10/10,9
8,2016/10/11,11
8,2016/10/12,11
8,2016/10/13,5
8,2016/10/14,5
8,2016/10/15,2
8,2016/10/16,3
8,2016/10/17,6
8,2016/10/18,8
8,2016/10/19,9
8,2016/10/20,1
8,2016/10/21,3
8,2016/10/22,2
8,2016/10/23,2
8,2016/10/24,1
8,2016/10/25,5
8,2016/10/26,2
8,2016/10/27,3
8,2016/10/28,6
8,2016/10/29,1
8,2016/10/30,3
8,2016/10/31,3
9,2016/6/22,25
9,2016/6/23,43
9,2016/6/24,40
9,2016/6/25,94
9,2016/6/26,12
9,2016/6/27,15
9,2016/6/28,5
9,2016/6/29,12
9,2016/6/30,6
9,2016/7/1,13
9,2016/7/2,12
9,2016/7/3,15
9,2016/7/4,6
9,2016/7/5,10
9,2016/7/6,9
9,2016/7/7,12
9,2016/7/8,9
9,2016/7/9,10
9,2016/7/10,15
9,2016/7/11,5
9,2016/7/12,3
9,2016/7/13,7
9,2016/7/14,6
9,2016/7/15,8
9,2016/7/16,9
9,2016/7/17,7
9,2016/7/18,6
9,2016/7/19,2
9,2016/7/20,7
9,2016/7/21,3
9,2016/7/23,8
9,2016/7/24,18
9,2016/7/26,4
9,2016/7/27,16
9,2016/7/28,7
9,2016/7/29,11
9,2016/7/30,10
9,2016/7/31,7
9,2016/8/1,6
9,2016/8/2,6
9,2016/8/3,7
9,2016/8/4,7
9,2016/8/5,5
9,2016/8/6,14
9,2016/8/7,15
9,2016/8/8,152
9,2016/8/9,40
9,2016/8/10,38
9,2016/8/11,61
9,2016/8/12,56
9,2016/8/13,51
9,2016/8/14,51
9,2016/8/15,40
9,2016/8/16,35
9,2016/8/17,17
9,2016/8/18,21
9,2016/8/19,16
9,2016/8/20,30
9,2016/8/21,21
9,2016/8/22,19
9,2016/8/23,22
9,2016/8/24,19
9,2016/8/25,15
9,2016/8/26,14
9,2016/8/27,124
9,2016/8/28,39
9,2016/8/29,18
9,2016/8/30,14
9,2016/8/31,18
9,2016/9/1,14
9,2016/9/2,5
9,2016/9/3,7
9,2016/9/4,8
9,2016/9/5,11
9,2016/9/6,16
9,2016/9/7,20
9,2016/9/8,15
9,2016/9/9,7
9,2016/9/10,16
9,2016/9/11,18
9,2016/9/12,17
9,2016/9/13,15
9,2016/9/14,23
9,2016/9/15,31
9,2016/9/16,16
9,2016/9/17,15
9,2016/9/18,12
9,2016/9/19,7
9,2016/9/20,7
9,2016/9/21,10
9,2016/9/22,9
9,2016/9/23,8
9,2016/9/24,10
9,2016/9/25,13
9,2016/9/26,11
9,2016/9/27,7
9,2016/9/28,9
9,2016/9/29,12
9,2016/9/30,20
9,2016/10/1,15
9,2016/10/2,8
9,2016/10/3,7
9,2016/10/4,14
9,2016/10/5,4
9,2016/10/6,17
9,2016/10/7,16
9,2016/10/8,9
9,2016/10/9,13
9,2016/10/10,6
9,2016/10/11,11
9,2016/10/12,6
9,2016/10/13,5
9,2016/10/14,5
9,2016/10/15,10
9,2016/10/16,6
9,2016/10/17,5
9,2016/10/18,10
9,2016/10/19,6
9,2016/10/20,4
9,2016/10/21,7
9,2016/10/22,11
9,2016/10/23,4
9,2016/10/24,2
9,2016/10/25,2
9,2016/10/26,2
9,2016/10/27,2
9,2016/10/28,6
9,2016/10/29,3
9,2016/10/30,11
9,2016/10/31,3
10,2016/7/1,1
10,2016/7/2,1
10,2016/7/5,1
10,2016/7/6,1
10,2016/7/7,3
10,2016/7/8,3
10,2016/7/13,2
10,2016/7/14,4
10,2016/7/17,1
10,2016/7/18,1
10,2016/7/19,3
10,2016/7/20,4
10,2016/7/24,2
10,2016/7/27,2
10,2016/7/28,2
10,2016/7/29,1
10,2016/7/31,2
10,2016/8/1,1
10,2016/8/2,1
10,2016/8/3,1
10,2016/8/5,1
10,2016/8/7,1
10,2016/8/10,1
10,2016/8/14,2
10,2016/8/17,2
10,2016/8/18,2
10,2016/8/20,1
10,2016/8/21,2
10,2016/8/22,1
10,2016/8/23,1
10,2016/8/24,3
10,2016/8/25,2
10,2016/8/27,1
10,2016/8/28,2
10,2016/8/29,2
10,2016/8/30,1
10,2016/8/31,2
10,2016/9/1,2
10,2016/9/2,2
10,2016/9/3,2
10,2016/9/6,1
10,2016/9/8,2
10,2016/9/10,1
10,2016/9/11,2
10,2016/9/12,1
10,2016/9/13,3
10,2016/9/14,3
10,2016/9/15,1
10,2016/9/16,1
10,2016/9/18,1
10,2016/9/21,1
10,2016/9/22,1
10,2016/9/24,1
10,2016/9/25,1
10,2016/9/28,1
10,2016/9/29,1
10,2016/9/30,3
10,2016/10/1,1
10,2016/10/2,1
10,2016/10/3,1
10,2016/10/4,1
10,2016/10/5,1
10,2016/10/7,1
10,2016/10/8,1
10,2016/10/9,1
10,2016/10/10,2
10,2016/10/12,4
10,2016/10/15,1
10,2016/10/16,3
10,2016/10/17,4
10,2016/10/18,1
10,2016/10/19,2
10,2016/10/21,3
10,2016/10/22,3
10,2016/10/23,1
10,2016/10/24,1
10,2016/10/25,1
10,2016/10/26,1
10,2016/10/27,1
10,2016/10/28,3
10,2016/10/29,2
10,2016/10/31,2
11,2016/6/22,1
11,2016/6/24,7
11,2016/6/25,4
11,2016/6/26,2
11,2016/6/27,4
11,2016/6/28,2
11,2016/6/29,2
11,2016/6/30,1
11,2016/7/1,6
11,2016/7/2,4
11,2016/7/3,4
11,2016/7/5,3
11,2016/7/6,1
11,2016/7/7,1
11,2016/7/8,1
11,2016/7/9,4
11,2016/7/10,3
11,2016/7/11,2
11,2016/7/12,3
11,2016/7/13,2
11,2016/7/14,4
11,2016/7/15,8
11,2016/7/16,2
11,2016/7/17,2
11,2016/7/18,5
11,2016/7/20,7
11,2016/7/21,1
11,2016/7/23,5
11,2016/7/24,2
11,2016/7/26,1
11,2016/7/27,2
11,2016/7/28,4
11,2016/7/29,3
11,2016/7/30,2
11,2016/7/31,2
11,2016/8/1,1
11,2016/8/2,1
11,2016/8/3,6
11,2016/8/5,1
11,2016/8/8,2
11,2016/8/9,2
11,2016/8/10,1
11,2016/8/11,1
11,2016/8/12,1
11,2016/8/13,1
11,2016/8/15,1
11,2016/8/16,2
11,2016/8/18,1
11,2016/8/20,1
11,2016/8/24,2
11,2016/8/25,1
11,2016/8/27,5
11,2016/8/28,5
11,2016/8/29,3
11,2016/8/30,4
11,2016/8/31,4
11,2016/9/1,1
11,2016/9/2,2
11,2016/9/3,1
11,2016/9/4,1
11,2016/9/5,4
11,2016/9/6,2
11,2016/9/10,2
11,2016/9/12,1
11,2016/9/14,3
11,2016/9/15,6
11,2016/9/16,3
11,2016/9/17,2
11,2016/9/19,4
11,2016/9/20,1
11,2016/9/21,3
11,2016/9/22,4
11,2016/9/23,1
11,2016/9/24,2
11,2016/9/25,2
11,2016/9/26,2
11,2016/9/27,4
11,2016/9/28,4
11,2016/9/29,4
11,2016/9/30,4
11,2016/10/1,4
11,2016/10/2,2
11,2016/10/3,6
11,2016/10/4,2
11,2016/10/5,4
11,2016/10/6,1
11,2016/10/7,2
11,2016/10/8,1
11,2016/10/9,10
11,2016/10/10,13
11,2016/10/11,1
11,2016/10/12,6
11,2016/10/13,9
11,2016/10/14,3
11,2016/10/15,5
11,2016/10/16,4
11,2016/10/17,2
11,2016/10/18,3
11,2016/10/19,1
11,2016/10/20,2
11,2016/10/22,3
11,2016/10/23,7
11,2016/10/24,5
11,2016/10/25,5
11,2016/10/26,4
11,2016/10/27,5
11,2016/10/28,1
11,2016/10/29,3
11,2016/10/30,4
11,2016/10/31,4
12,2016/6/22,18
12,2016/6/23,47
12,2016/6/24,37
12,2016/6/25,77
12,2016/6/26,19
12,2016/6/27,27
12,2016/6/28,20
12,2016/6/29,29
12,2016/6/30,23
12,2016/7/1,14
12,2016/7/2,13
12,2016/7/3,11
12,2016/7/4,9
12,2016/7/5,9
12,2016/7/6,11
12,2016/7/7,26
12,2016/7/8,3
12,2016/7/9,19
12,2016/7/10,28
12,2016/7/11,13
12,2016/7/12,18
12,2016/7/13,8
12,2016/7/14,24
12,2016/7/15,10
12,2016/7/16,21
12,2016/7/17,28
12,2016/7/18,21
12,2016/7/19,14
12,2016/7/20,20
12,2016/7/21,19
12,2016/7/23,22
12,2016/7/24,16
